,date,hebrewDate,hebrewMonth,hebrewYear
121,2001-05-02,"(5761, 2, 9)",IYYAR,5761
122,2001-05-03,"(5761, 2, 10)",IYYAR,5761
123,2001-05-04,"(5761, 2, 11)",IYYAR,5761
124,2001-05-05,"(5761, 2, 12)",IYYAR,5761
125,2001-05-06,"(5761, 2, 13)",IYYAR,5761
126,2001-05-07,"(5761, 2, 14)",IYYAR,5761
127,2001-05-08,"(5761, 2, 15)",IYYAR,5761
128,2001-05-09,"(5761, 2, 16)",IYYAR,5761
129,2001-05-10,"(5761, 2, 17)",IYYAR,5761
130,2001-05-11,"(5761, 2, 18)",IYYAR,5761
131,2001-05-12,"(5761, 2, 19)",IYYAR,5761
132,2001-05-13,"(5761, 2, 20)",IYYAR,5761
133,2001-05-14,"(5761, 2, 21)",IYYAR,5761
134,2001-05-15,"(5761, 2, 22)",IYYAR,5761
135,2001-05-16,"(5761, 2, 23)",IYYAR,5761
136,2001-05-17,"(5761, 2, 24)",IYYAR,5761
137,2001-05-18,"(5761, 2, 25)",IYYAR,5761
138,2001-05-19,"(5761, 2, 26)",IYYAR,5761
139,2001-05-20,"(5761, 2, 27)",IYYAR,5761
140,2001-05-21,"(5761, 2, 28)",IYYAR,5761
141,2001-05-22,"(5761, 2, 29)",IYYAR,5761
142,2001-05-23,"(5761, 3, 1)",SIVAN,5761
143,2001-05-24,"(5761, 3, 2)",SIVAN,5761
144,2001-05-25,"(5761, 3, 3)",SIVAN,5761
145,2001-05-26,"(5761, 3, 4)",SIVAN,5761
146,2001-05-27,"(5761, 3, 5)",SIVAN,5761
147,2001-05-28,"(5761, 3, 6)",SIVAN,5761
148,2001-05-29,"(5761, 3, 7)",SIVAN,5761
149,2001-05-30,"(5761, 3, 8)",SIVAN,5761
150,2001-05-31,"(5761, 3, 9)",SIVAN,5761
151,2001-06-01,"(5761, 3, 10)",SIVAN,5761
152,2001-06-02,"(5761, 3, 11)",SIVAN,5761
153,2001-06-03,"(5761, 3, 12)",SIVAN,5761
154,2001-06-04,"(5761, 3, 13)",SIVAN,5761
155,2001-06-05,"(5761, 3, 14)",SIVAN,5761
156,2001-06-06,"(5761, 3, 15)",SIVAN,5761
157,2001-06-07,"(5761, 3, 16)",SIVAN,5761
158,2001-06-08,"(5761, 3, 17)",SIVAN,5761
159,2001-06-09,"(5761, 3, 18)",SIVAN,5761
160,2001-06-10,"(5761, 3, 19)",SIVAN,5761
161,2001-06-11,"(5761, 3, 20)",SIVAN,5761
162,2001-06-12,"(5761, 3, 21)",SIVAN,5761
163,2001-06-13,"(5761, 3, 22)",SIVAN,5761
164,2001-06-14,"(5761, 3, 23)",SIVAN,5761
165,2001-06-15,"(5761, 3, 24)",SIVAN,5761
166,2001-06-16,"(5761, 3, 25)",SIVAN,5761
167,2001-06-17,"(5761, 3, 26)",SIVAN,5761
168,2001-06-18,"(5761, 3, 27)",SIVAN,5761
169,2001-06-19,"(5761, 3, 28)",SIVAN,5761
170,2001-06-20,"(5761, 3, 29)",SIVAN,5761
171,2001-06-21,"(5761, 3, 30)",SIVAN,5761
172,2001-06-22,"(5761, 4, 1)",TAMMUZ,5761
173,2001-06-23,"(5761, 4, 2)",TAMMUZ,5761
174,2001-06-24,"(5761, 4, 3)",TAMMUZ,5761
175,2001-06-25,"(5761, 4, 4)",TAMMUZ,5761
176,2001-06-26,"(5761, 4, 5)",TAMMUZ,5761
177,2001-06-27,"(5761, 4, 6)",TAMMUZ,5761
178,2001-06-28,"(5761, 4, 7)",TAMMUZ,5761
179,2001-06-29,"(5761, 4, 8)",TAMMUZ,5761
180,2001-06-30,"(5761, 4, 9)",TAMMUZ,5761
181,2001-07-01,"(5761, 4, 10)",TAMMUZ,5761
182,2001-07-02,"(5761, 4, 11)",TAMMUZ,5761
183,2001-07-03,"(5761, 4, 12)",TAMMUZ,5761
184,2001-07-04,"(5761, 4, 13)",TAMMUZ,5761
185,2001-07-05,"(5761, 4, 14)",TAMMUZ,5761
186,2001-07-06,"(5761, 4, 15)",TAMMUZ,5761
187,2001-07-07,"(5761, 4, 16)",TAMMUZ,5761
188,2001-07-08,"(5761, 4, 17)",TAMMUZ,5761
189,2001-07-09,"(5761, 4, 18)",TAMMUZ,5761
190,2001-07-10,"(5761, 4, 19)",TAMMUZ,5761
191,2001-07-11,"(5761, 4, 20)",TAMMUZ,5761
192,2001-07-12,"(5761, 4, 21)",TAMMUZ,5761
193,2001-07-13,"(5761, 4, 22)",TAMMUZ,5761
194,2001-07-14,"(5761, 4, 23)",TAMMUZ,5761
195,2001-07-15,"(5761, 4, 24)",TAMMUZ,5761
196,2001-07-16,"(5761, 4, 25)",TAMMUZ,5761
197,2001-07-17,"(5761, 4, 26)",TAMMUZ,5761
198,2001-07-18,"(5761, 4, 27)",TAMMUZ,5761
199,2001-07-19,"(5761, 4, 28)",TAMMUZ,5761
200,2001-07-20,"(5761, 4, 29)",TAMMUZ,5761
201,2001-07-21,"(5761, 5, 1)",AV,5761
202,2001-07-22,"(5761, 5, 2)",AV,5761
203,2001-07-23,"(5761, 5, 3)",AV,5761
204,2001-07-24,"(5761, 5, 4)",AV,5761
205,2001-07-25,"(5761, 5, 5)",AV,5761
206,2001-07-26,"(5761, 5, 6)",AV,5761
207,2001-07-27,"(5761, 5, 7)",AV,5761
208,2001-07-28,"(5761, 5, 8)",AV,5761
209,2001-07-29,"(5761, 5, 9)",AV,5761
210,2001-07-30,"(5761, 5, 10)",AV,5761
211,2001-07-31,"(5761, 5, 11)",AV,5761
212,2001-08-01,"(5761, 5, 12)",AV,5761
213,2001-08-02,"(5761, 5, 13)",AV,5761
214,2001-08-03,"(5761, 5, 14)",AV,5761
215,2001-08-04,"(5761, 5, 15)",AV,5761
216,2001-08-05,"(5761, 5, 16)",AV,5761
217,2001-08-06,"(5761, 5, 17)",AV,5761
218,2001-08-07,"(5761, 5, 18)",AV,5761
219,2001-08-08,"(5761, 5, 19)",AV,5761
220,2001-08-09,"(5761, 5, 20)",AV,5761
221,2001-08-10,"(5761, 5, 21)",AV,5761
222,2001-08-11,"(5761, 5, 22)",AV,5761
223,2001-08-12,"(5761, 5, 23)",AV,5761
224,2001-08-13,"(5761, 5, 24)",AV,5761
225,2001-08-14,"(5761, 5, 25)",AV,5761
226,2001-08-15,"(5761, 5, 26)",AV,5761
227,2001-08-16,"(5761, 5, 27)",AV,5761
228,2001-08-17,"(5761, 5, 28)",AV,5761
229,2001-08-18,"(5761, 5, 29)",AV,5761
230,2001-08-19,"(5761, 5, 30)",AV,5761
231,2001-08-20,"(5761, 6, 1)",ELUL,5761
232,2001-08-21,"(5761, 6, 2)",ELUL,5761
233,2001-08-22,"(5761, 6, 3)",ELUL,5761
234,2001-08-23,"(5761, 6, 4)",ELUL,5761
235,2001-08-24,"(5761, 6, 5)",ELUL,5761
236,2001-08-25,"(5761, 6, 6)",ELUL,5761
237,2001-08-26,"(5761, 6, 7)",ELUL,5761
238,2001-08-27,"(5761, 6, 8)",ELUL,5761
239,2001-08-28,"(5761, 6, 9)",ELUL,5761
240,2001-08-29,"(5761, 6, 10)",ELUL,5761
241,2001-08-30,"(5761, 6, 11)",ELUL,5761
242,2001-08-31,"(5761, 6, 12)",ELUL,5761
243,2001-09-01,"(5761, 6, 13)",ELUL,5761
244,2001-09-02,"(5761, 6, 14)",ELUL,5761
245,2001-09-03,"(5761, 6, 15)",ELUL,5761
246,2001-09-04,"(5761, 6, 16)",ELUL,5761
247,2001-09-05,"(5761, 6, 17)",ELUL,5761
248,2001-09-06,"(5761, 6, 18)",ELUL,5761
249,2001-09-07,"(5761, 6, 19)",ELUL,5761
250,2001-09-08,"(5761, 6, 20)",ELUL,5761
251,2001-09-09,"(5761, 6, 21)",ELUL,5761
252,2001-09-10,"(5761, 6, 22)",ELUL,5761
253,2001-09-11,"(5761, 6, 23)",ELUL,5761
254,2001-09-12,"(5761, 6, 24)",ELUL,5761
255,2001-09-13,"(5761, 6, 25)",ELUL,5761
256,2001-09-14,"(5761, 6, 26)",ELUL,5761
257,2001-09-15,"(5761, 6, 27)",ELUL,5761
258,2001-09-16,"(5761, 6, 28)",ELUL,5761
259,2001-09-17,"(5761, 6, 29)",ELUL,5761
260,2001-09-18,"(5762, 7, 1)",TISHRI,5762
261,2001-09-19,"(5762, 7, 2)",TISHRI,5762
262,2001-09-20,"(5762, 7, 3)",TISHRI,5762
263,2001-09-21,"(5762, 7, 4)",TISHRI,5762
264,2001-09-22,"(5762, 7, 5)",TISHRI,5762
265,2001-09-23,"(5762, 7, 6)",TISHRI,5762
266,2001-09-24,"(5762, 7, 7)",TISHRI,5762
267,2001-09-25,"(5762, 7, 8)",TISHRI,5762
268,2001-09-26,"(5762, 7, 9)",TISHRI,5762
269,2001-09-27,"(5762, 7, 10)",TISHRI,5762
270,2001-09-28,"(5762, 7, 11)",TISHRI,5762
271,2001-09-29,"(5762, 7, 12)",TISHRI,5762
272,2001-09-30,"(5762, 7, 13)",TISHRI,5762
273,2001-10-01,"(5762, 7, 14)",TISHRI,5762
274,2001-10-02,"(5762, 7, 15)",TISHRI,5762
275,2001-10-03,"(5762, 7, 16)",TISHRI,5762
276,2001-10-04,"(5762, 7, 17)",TISHRI,5762
277,2001-10-05,"(5762, 7, 18)",TISHRI,5762
278,2001-10-06,"(5762, 7, 19)",TISHRI,5762
279,2001-10-07,"(5762, 7, 20)",TISHRI,5762
280,2001-10-08,"(5762, 7, 21)",TISHRI,5762
281,2001-10-09,"(5762, 7, 22)",TISHRI,5762
282,2001-10-10,"(5762, 7, 23)",TISHRI,5762
283,2001-10-11,"(5762, 7, 24)",TISHRI,5762
284,2001-10-12,"(5762, 7, 25)",TISHRI,5762
285,2001-10-13,"(5762, 7, 26)",TISHRI,5762
286,2001-10-14,"(5762, 7, 27)",TISHRI,5762
287,2001-10-15,"(5762, 7, 28)",TISHRI,5762
288,2001-10-16,"(5762, 7, 29)",TISHRI,5762
289,2001-10-17,"(5762, 7, 30)",TISHRI,5762
290,2001-10-18,"(5762, 8, 1)",HESHVAN,5762
291,2001-10-19,"(5762, 8, 2)",HESHVAN,5762
292,2001-10-20,"(5762, 8, 3)",HESHVAN,5762
293,2001-10-21,"(5762, 8, 4)",HESHVAN,5762
294,2001-10-22,"(5762, 8, 5)",HESHVAN,5762
295,2001-10-23,"(5762, 8, 6)",HESHVAN,5762
296,2001-10-24,"(5762, 8, 7)",HESHVAN,5762
297,2001-10-25,"(5762, 8, 8)",HESHVAN,5762
298,2001-10-26,"(5762, 8, 9)",HESHVAN,5762
299,2001-10-27,"(5762, 8, 10)",HESHVAN,5762
300,2001-10-28,"(5762, 8, 11)",HESHVAN,5762
301,2001-10-29,"(5762, 8, 12)",HESHVAN,5762
302,2001-10-30,"(5762, 8, 13)",HESHVAN,5762
303,2001-10-31,"(5762, 8, 14)",HESHVAN,5762
304,2001-11-01,"(5762, 8, 15)",HESHVAN,5762
305,2001-11-02,"(5762, 8, 16)",HESHVAN,5762
306,2001-11-03,"(5762, 8, 17)",HESHVAN,5762
307,2001-11-04,"(5762, 8, 18)",HESHVAN,5762
308,2001-11-05,"(5762, 8, 19)",HESHVAN,5762
309,2001-11-06,"(5762, 8, 20)",HESHVAN,5762
310,2001-11-07,"(5762, 8, 21)",HESHVAN,5762
311,2001-11-08,"(5762, 8, 22)",HESHVAN,5762
312,2001-11-09,"(5762, 8, 23)",HESHVAN,5762
313,2001-11-10,"(5762, 8, 24)",HESHVAN,5762
314,2001-11-11,"(5762, 8, 25)",HESHVAN,5762
315,2001-11-12,"(5762, 8, 26)",HESHVAN,5762
316,2001-11-13,"(5762, 8, 27)",HESHVAN,5762
317,2001-11-14,"(5762, 8, 28)",HESHVAN,5762
318,2001-11-15,"(5762, 8, 29)",HESHVAN,5762
319,2001-11-16,"(5762, 9, 1)",KISLEV,5762
320,2001-11-17,"(5762, 9, 2)",KISLEV,5762
321,2001-11-18,"(5762, 9, 3)",KISLEV,5762
322,2001-11-19,"(5762, 9, 4)",KISLEV,5762
323,2001-11-20,"(5762, 9, 5)",KISLEV,5762
324,2001-11-21,"(5762, 9, 6)",KISLEV,5762
325,2001-11-22,"(5762, 9, 7)",KISLEV,5762
326,2001-11-23,"(5762, 9, 8)",KISLEV,5762
327,2001-11-24,"(5762, 9, 9)",KISLEV,5762
328,2001-11-25,"(5762, 9, 10)",KISLEV,5762
329,2001-11-26,"(5762, 9, 11)",KISLEV,5762
330,2001-11-27,"(5762, 9, 12)",KISLEV,5762
331,2001-11-28,"(5762, 9, 13)",KISLEV,5762
332,2001-11-29,"(5762, 9, 14)",KISLEV,5762
333,2001-11-30,"(5762, 9, 15)",KISLEV,5762
334,2001-12-01,"(5762, 9, 16)",KISLEV,5762
335,2001-12-02,"(5762, 9, 17)",KISLEV,5762
336,2001-12-03,"(5762, 9, 18)",KISLEV,5762
337,2001-12-04,"(5762, 9, 19)",KISLEV,5762
338,2001-12-05,"(5762, 9, 20)",KISLEV,5762
339,2001-12-06,"(5762, 9, 21)",KISLEV,5762
340,2001-12-07,"(5762, 9, 22)",KISLEV,5762
341,2001-12-08,"(5762, 9, 23)",KISLEV,5762
342,2001-12-09,"(5762, 9, 24)",KISLEV,5762
343,2001-12-10,"(5762, 9, 25)",KISLEV,5762
344,2001-12-11,"(5762, 9, 26)",KISLEV,5762
345,2001-12-12,"(5762, 9, 27)",KISLEV,5762
346,2001-12-13,"(5762, 9, 28)",KISLEV,5762
347,2001-12-14,"(5762, 9, 29)",KISLEV,5762
348,2001-12-15,"(5762, 9, 30)",KISLEV,5762
349,2001-12-16,"(5762, 10, 1)",TEVETH,5762
350,2001-12-17,"(5762, 10, 2)",TEVETH,5762
351,2001-12-18,"(5762, 10, 3)",TEVETH,5762
352,2001-12-19,"(5762, 10, 4)",TEVETH,5762
353,2001-12-20,"(5762, 10, 5)",TEVETH,5762
354,2001-12-21,"(5762, 10, 6)",TEVETH,5762
355,2001-12-22,"(5762, 10, 7)",TEVETH,5762
356,2001-12-23,"(5762, 10, 8)",TEVETH,5762
357,2001-12-24,"(5762, 10, 9)",TEVETH,5762
358,2001-12-25,"(5762, 10, 10)",TEVETH,5762
359,2001-12-26,"(5762, 10, 11)",TEVETH,5762
360,2001-12-27,"(5762, 10, 12)",TEVETH,5762
361,2001-12-28,"(5762, 10, 13)",TEVETH,5762
362,2001-12-29,"(5762, 10, 14)",TEVETH,5762
363,2001-12-30,"(5762, 10, 15)",TEVETH,5762
364,2001-12-31,"(5762, 10, 16)",TEVETH,5762
365,2002-01-01,"(5762, 10, 17)",TEVETH,5762
366,2002-01-02,"(5762, 10, 18)",TEVETH,5762
367,2002-01-03,"(5762, 10, 19)",TEVETH,5762
368,2002-01-04,"(5762, 10, 20)",TEVETH,5762
369,2002-01-05,"(5762, 10, 21)",TEVETH,5762
370,2002-01-06,"(5762, 10, 22)",TEVETH,5762
371,2002-01-07,"(5762, 10, 23)",TEVETH,5762
372,2002-01-08,"(5762, 10, 24)",TEVETH,5762
373,2002-01-09,"(5762, 10, 25)",TEVETH,5762
374,2002-01-10,"(5762, 10, 26)",TEVETH,5762
375,2002-01-11,"(5762, 10, 27)",TEVETH,5762
376,2002-01-12,"(5762, 10, 28)",TEVETH,5762
377,2002-01-13,"(5762, 10, 29)",TEVETH,5762
378,2002-01-14,"(5762, 11, 1)",SHEVAT,5762
379,2002-01-15,"(5762, 11, 2)",SHEVAT,5762
380,2002-01-16,"(5762, 11, 3)",SHEVAT,5762
381,2002-01-17,"(5762, 11, 4)",SHEVAT,5762
382,2002-01-18,"(5762, 11, 5)",SHEVAT,5762
383,2002-01-19,"(5762, 11, 6)",SHEVAT,5762
384,2002-01-20,"(5762, 11, 7)",SHEVAT,5762
385,2002-01-21,"(5762, 11, 8)",SHEVAT,5762
386,2002-01-22,"(5762, 11, 9)",SHEVAT,5762
387,2002-01-23,"(5762, 11, 10)",SHEVAT,5762
388,2002-01-24,"(5762, 11, 11)",SHEVAT,5762
389,2002-01-25,"(5762, 11, 12)",SHEVAT,5762
390,2002-01-26,"(5762, 11, 13)",SHEVAT,5762
391,2002-01-27,"(5762, 11, 14)",SHEVAT,5762
392,2002-01-28,"(5762, 11, 15)",SHEVAT,5762
393,2002-01-29,"(5762, 11, 16)",SHEVAT,5762
394,2002-01-30,"(5762, 11, 17)",SHEVAT,5762
395,2002-01-31,"(5762, 11, 18)",SHEVAT,5762
396,2002-02-01,"(5762, 11, 19)",SHEVAT,5762
397,2002-02-02,"(5762, 11, 20)",SHEVAT,5762
398,2002-02-03,"(5762, 11, 21)",SHEVAT,5762
399,2002-02-04,"(5762, 11, 22)",SHEVAT,5762
400,2002-02-05,"(5762, 11, 23)",SHEVAT,5762
401,2002-02-06,"(5762, 11, 24)",SHEVAT,5762
402,2002-02-07,"(5762, 11, 25)",SHEVAT,5762
403,2002-02-08,"(5762, 11, 26)",SHEVAT,5762
404,2002-02-09,"(5762, 11, 27)",SHEVAT,5762
405,2002-02-10,"(5762, 11, 28)",SHEVAT,5762
406,2002-02-11,"(5762, 11, 29)",SHEVAT,5762
407,2002-02-12,"(5762, 11, 30)",SHEVAT,5762
408,2002-02-13,"(5762, 12, 1)",ADAR,5762
409,2002-02-14,"(5762, 12, 2)",ADAR,5762
410,2002-02-15,"(5762, 12, 3)",ADAR,5762
411,2002-02-16,"(5762, 12, 4)",ADAR,5762
412,2002-02-17,"(5762, 12, 5)",ADAR,5762
413,2002-02-18,"(5762, 12, 6)",ADAR,5762
414,2002-02-19,"(5762, 12, 7)",ADAR,5762
415,2002-02-20,"(5762, 12, 8)",ADAR,5762
416,2002-02-21,"(5762, 12, 9)",ADAR,5762
417,2002-02-22,"(5762, 12, 10)",ADAR,5762
418,2002-02-23,"(5762, 12, 11)",ADAR,5762
419,2002-02-24,"(5762, 12, 12)",ADAR,5762
420,2002-02-25,"(5762, 12, 13)",ADAR,5762
421,2002-02-26,"(5762, 12, 14)",ADAR,5762
422,2002-02-27,"(5762, 12, 15)",ADAR,5762
423,2002-02-28,"(5762, 12, 16)",ADAR,5762
424,2002-03-01,"(5762, 12, 17)",ADAR,5762
425,2002-03-02,"(5762, 12, 18)",ADAR,5762
426,2002-03-03,"(5762, 12, 19)",ADAR,5762
427,2002-03-04,"(5762, 12, 20)",ADAR,5762
428,2002-03-05,"(5762, 12, 21)",ADAR,5762
429,2002-03-06,"(5762, 12, 22)",ADAR,5762
430,2002-03-07,"(5762, 12, 23)",ADAR,5762
431,2002-03-08,"(5762, 12, 24)",ADAR,5762
432,2002-03-09,"(5762, 12, 25)",ADAR,5762
433,2002-03-10,"(5762, 12, 26)",ADAR,5762
434,2002-03-11,"(5762, 12, 27)",ADAR,5762
435,2002-03-12,"(5762, 12, 28)",ADAR,5762
436,2002-03-13,"(5762, 12, 29)",ADAR,5762
437,2002-03-14,"(5762, 1, 1)",NISAN,5762
438,2002-03-15,"(5762, 1, 2)",NISAN,5762
439,2002-03-16,"(5762, 1, 3)",NISAN,5762
440,2002-03-17,"(5762, 1, 4)",NISAN,5762
441,2002-03-18,"(5762, 1, 5)",NISAN,5762
442,2002-03-19,"(5762, 1, 6)",NISAN,5762
443,2002-03-20,"(5762, 1, 7)",NISAN,5762
444,2002-03-21,"(5762, 1, 8)",NISAN,5762
445,2002-03-22,"(5762, 1, 9)",NISAN,5762
446,2002-03-23,"(5762, 1, 10)",NISAN,5762
447,2002-03-24,"(5762, 1, 11)",NISAN,5762
448,2002-03-25,"(5762, 1, 12)",NISAN,5762
449,2002-03-26,"(5762, 1, 13)",NISAN,5762
450,2002-03-27,"(5762, 1, 14)",NISAN,5762
451,2002-03-28,"(5762, 1, 15)",NISAN,5762
452,2002-03-29,"(5762, 1, 16)",NISAN,5762
453,2002-03-30,"(5762, 1, 17)",NISAN,5762
454,2002-03-31,"(5762, 1, 18)",NISAN,5762
455,2002-04-01,"(5762, 1, 19)",NISAN,5762
456,2002-04-02,"(5762, 1, 20)",NISAN,5762
457,2002-04-03,"(5762, 1, 21)",NISAN,5762
458,2002-04-04,"(5762, 1, 22)",NISAN,5762
459,2002-04-05,"(5762, 1, 23)",NISAN,5762
460,2002-04-06,"(5762, 1, 24)",NISAN,5762
461,2002-04-07,"(5762, 1, 25)",NISAN,5762
462,2002-04-08,"(5762, 1, 26)",NISAN,5762
463,2002-04-09,"(5762, 1, 27)",NISAN,5762
464,2002-04-10,"(5762, 1, 28)",NISAN,5762
465,2002-04-11,"(5762, 1, 29)",NISAN,5762
466,2002-04-12,"(5762, 1, 30)",NISAN,5762
467,2002-04-13,"(5762, 2, 1)",IYYAR,5762
